@relation comentarios_base
@attribute comment string
@attribute classificador {positivo, negativo, neutro}
@data
"cada senador merece sorte parana ter votado certo grande senador alvaro dias", positivo
"parabens senador", neutro
"parabens grande senador pessoas povo brasileiro precisa politica", positivo
"bom homens senador alvaro dias", positivo
"parabensaproveitar dinheiro publico povo distribuindo obter vantagens politicaspropinasou corrupcao", neutro
"mil piada tanto dinheiro desviado instituicao reabilitacao vai ter virar mil", positivo
"parabens parana senador alvaro dias", neutro
"amigo novo presidente brasil alvaro dias", positivo
"ajudar proximo sempre bomparabens", neutro
"parabens", neutro
"parabens senador presidente", neutro
"parabens senador", neutro
"esquerda articulada reconhecer dados provisorios especialmente pra camara nada ver realidade voto presidente alvaro dias", neutro
"votei senador claro senhor longe melhor campanha", positivo
"excelente ideia candidato preferido", positivo
"certeza senador", neutro
"acredito toda sociedade mobilizar atraves redes sociais ocupacao vias publicas bandidos vao votar tema essses nunca porque sabem vao estar voltando propria prisao", positivo
"certeza senador alvaro dias foro privilegiado defende debitos justica dispensa trabalha extinguir foro privilegiado anda retidao unir fazer pressao congresso pauta votado fim", positivo
"basta pressionar novo senta cima processo alexandre moraes dar voto stf peco vistas prometo trazer rapidamente tres meses", positivo
"pleno acordo vossa excelencia senador alvaro dias outro comentario pedi exa cobre ministro alexandre morais devolucao processo trata foro privilegiado ninguem melhor senador fazer anda senhor senador alvaro dias politico ficha limpa integro forca senador", positivo
"fim foro privilegiado maior gesto igualdade podemos ter todos iguais diante leis entao porque uns tem regalias olhe pessoas precisa porque dinheiro pagar bons advogados igualdade", negativo
"senador enrolando aprovar fim foro privilegiado porque medo irem pra cadeia choro vela pra cima aprovem logo fim foro privilegiado fim foro privilegiado ser todos ainda quanto experimentamos mau carater muitos politicos fim foro todos politicos autoridades", negativo
"ana amelia meia duzia unicos peito persistir fim dessa ilegalidade alvaro acredito nunca vai decepcionar abracao", negativo
"termo pega mal precisa ser exemplo necessita foro privilegiado causa dessa regalia desse jeito", neutro
"foro privilegiado nada licenca usurpar cofres publicos ficar pune", neutro
"fala ministro careca pediu vistas processo dias", positivo
"existem honestos suficiente aprovarem pec infelizmente acredito nisso", positivo
"foro privilegiado fere constituicao todos iguais perante lei", positivo
"queria congresso parlamento serem dignos atuantes cada abrissem mao foro privilegiado agisse acao afrente tempo", neutro
"concordo aguardando pautarem vez todas definitivamente ofim foro privilegiado anda empacadopressao neles nobre senador", positivo
